,DispNum3,IncidNum3,DispNum4,IncidNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Duration,TBI,Fatality,FatalPre,Action,HostLev,NumA,RevType1,RevType2,Version,DispNum3,IncidNum3,DispNum4,IncidNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,InSide A,SideA,Fatality,FatalPre,Action,HostLev,RevType1,RevType2,Version
21,3552.0,3552012.0,-9.0,-9.0,13.0,1.0,1993.0,13.0,1.0,1993.0,1.0,0.0,1.0,17.0,17.0,4.0,3.0,4.0,0.0,4.01,3551,3551002,-9,-9,SPN,230,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.01
22,3552.0,3552013.0,-9.0,-9.0,13.0,1.0,1993.0,13.0,1.0,1993.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3551,3551002,-9,-9,UKG,200,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.01
23,3552.0,3552014.0,-9.0,-9.0,14.0,1.0,1993.0,14.0,1.0,1993.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,4.01,3551,3551002,-9,-9,USA,2,21,11,1993,24,9,1996,1,1,2,0,13,4,2,0,4.01
24,3552.0,3552015.0,-9.0,-9.0,15.0,1.0,1993.0,15.0,1.0,1993.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3551,3551003,-9,-9,YUG,345,-9,1,1993,-9,1,1993,0,0,0,0,0,1,0,0,4.01
25,3552.0,3552016.0,-9.0,-9.0,16.0,1.0,1993.0,16.0,1.0,1993.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3551,3551003,-9,-9,FRN,220,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,4.01
26,3552.0,3552017.0,-9.0,-9.0,17.0,1.0,1993.0,21.0,1.0,1993.0,5.0,0.0,-9.0,-9.0,17.0,4.0,1.0,2.0,0.0,4.01,3551,3551003,-9,-9,UKG,200,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,4.01
27,3552.0,3552018.0,-9.0,-9.0,17.0,1.0,1993.0,17.0,1.0,1993.0,1.0,0.0,-9.0,-9.0,17.0,4.0,1.0,4.0,0.0,4.01,3551,3551003,-9,-9,USA,2,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,4.01
28,3552.0,3552019.0,-9.0,-9.0,17.0,1.0,1993.0,19.0,1.0,1993.0,3.0,0.0,1.0,-9.0,16.0,4.0,3.0,2.0,0.0,4.01,3551,3551004,-9,-9,YUG,345,14,1,1993,-9,1,1993,0,0,0,0,0,1,0,0,4.01
29,3552.0,3552020.0,-9.0,-9.0,17.0,1.0,1993.0,17.0,1.0,1993.0,1.0,1.0,1.0,1.0,17.0,4.0,1.0,2.0,0.0,4.01,3551,3551004,-9,-9,UKG,200,14,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,4.01
30,3552.0,3552021.0,-9.0,-9.0,18.0,1.0,1993.0,18.0,1.0,1993.0,1.0,3.0,-9.0,-9.0,16.0,4.0,3.0,4.0,0.0,4.01,3551,3551005,-9,-9,RUM,360,30,1,1993,30,1,1993,0,1,0,0,0,1,0,0,4.01
31,3552.0,3552022.0,-9.0,-9.0,21.0,1.0,1993.0,21.0,1.0,1993.0,1.0,1.0,0.0,0.0,16.0,4.0,2.0,2.0,0.0,4.01,3551,3551005,-9,-9,YUG,345,30,1,1993,30,1,1993,1,0,0,0,15,4,2,0,4.01
32,3552.0,3552023.0,-9.0,-9.0,22.0,1.0,1993.0,22.0,1.0,1993.0,1.0,1.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3551,3551006,-9,-9,YUG,345,3,2,1993,3,2,1993,0,0,0,0,0,1,0,0,4.01
33,3552.0,3552024.0,-9.0,-9.0,23.0,1.0,1993.0,23.0,1.0,1993.0,1.0,76.0,-9.0,-9.0,17.0,4.0,1.0,2.0,0.0,4.01,3551,3551006,-9,-9,RUM,360,3,2,1993,3,2,1993,1,1,0,0,15,4,2,0,4.01
34,3552.0,3552025.0,-9.0,-9.0,9.0,4.0,1993.0,9.0,4.0,1993.0,1.0,9.0,-9.0,-9.0,17.0,4.0,1.0,2.0,0.0,4.01,3551,3551007,-9,-9,YUG,345,28,2,1993,28,2,1993,0,0,0,0,0,1,0,0,4.01
35,3552.0,3552026.0,-9.0,-9.0,18.0,4.0,1993.0,18.0,4.0,1993.0,1.0,1.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3551,3551007,-9,-9,USA,2,28,2,1993,28,2,1993,1,1,0,0,1,2,2,0,4.01
36,3552.0,3552027.0,-9.0,-9.0,19.0,4.0,1993.0,19.0,4.0,1993.0,1.0,71.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3551,3551008,-9,-9,YUG,345,12,4,1993,12,4,1993,0,0,0,0,0,1,0,0,4.01
37,3552.0,3552028.0,-9.0,-9.0,29.0,6.0,1993.0,29.0,6.0,1993.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,2.0,3.0,4.01,3551,3551008,-9,-9,USA,2,12,4,1993,12,4,1993,1,1,0,0,7,3,2,0,4.01
38,3552.0,3552029.0,-9.0,-9.0,29.0,6.0,1993.0,29.0,6.0,1993.0,1.0,2.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3551,3551008,-9,-9,NTH,210,12,4,1993,12,4,1993,1,1,0,0,7,3,2,0,4.01
39,3552.0,3552030.0,-9.0,-9.0,1.0,7.0,1993.0,4.0,7.0,1993.0,4.0,23.0,0.0,0.0,16.0,4.0,1.0,2.0,0.0,4.01,3551,3551008,-9,-9,FRN,220,12,4,1993,12,4,1993,1,1,0,0,7,3,2,0,4.01
40,3552.0,3552031.0,-9.0,-9.0,24.0,7.0,1993.0,24.0,7.0,1993.0,1.0,26.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3551,3551009,-9,-9,YUG,345,1,5,1993,1,11,1993,0,0,0,0,0,1,0,0,4.01
